,hum_ratio,temp,wind_dir,solar_radiation,windspeed,weekday,week
2050-01-06 00:00:00,0.004590104573568683,5.0,200,0,8.2,0.0,1
2050-01-06 01:00:00,0.00440026466316806,4.4,190,0,8.8,0.0,1
2050-01-06 02:00:00,0.004399279614042272,4.4,190,0,7.2,0.0,1
2050-01-06 03:00:00,0.004395092286655445,3.9,190,0,7.7,0.0,1
2050-01-06 04:00:00,0.004258223345858456,3.3,200,0,6.7,0.0,1
2050-01-06 05:00:00,0.004067145644822546,3.3,200,0,8.8,0.0,1
2050-01-06 06:00:00,0.0040631077098677824,3.3,200,0,5.2,0.0,1
2050-01-06 07:00:00,0.004060084516462625,3.3,200,0,2.6,0.0,1
2050-01-06 08:00:00,0.004249250300509845,3.3,170,2,6.2,0.0,1
2050-01-06 09:00:00,0.004581089267065527,3.9,170,71,5.7,0.0,1
2050-01-06 10:00:00,0.00494865412276755,5.0,190,111,7.7,0.0,1
2050-01-06 11:00:00,0.005342854822593891,6.1,200,89,9.3,0.0,1
2050-01-06 12:00:00,0.005765586056906993,7.2,210,148,10.3,0.0,1
2050-01-06 13:00:00,0.006002726501789061,7.8,230,44,10.3,0.0,1
2050-01-06 14:00:00,0.005331880468805504,6.1,350,86,5.7,0.0,1
2050-01-06 15:00:00,0.004559917821809561,5.0,20,68,2.6,0.0,1
2050-01-06 16:00:00,0.004726071962154027,4.4,140,10,3.6,0.0,1
2050-01-06 17:00:00,0.00472257423046486,4.4,150,0,6.2,0.0,1
2050-01-06 18:00:00,0.00420905580496876,3.9,120,0,4.1,0.0,1
2050-01-06 19:00:00,0.004206671070230661,3.9,110,0,5.2,0.0,1
2050-01-06 20:00:00,0.004009599015746237,3.9,160,0,3.6,0.0,1
2050-01-06 21:00:00,0.004208848329402473,3.9,40,0,4.1,0.0,1
2050-01-06 22:00:00,0.004012841219111656,5.0,220,0,3.1,0.0,1
2050-01-06 23:00:00,0.004227901950188449,5.0,220,0,3.1,0.0,1
2050-01-07 00:00:00,0.0041852682182231945,5.6,280,0,2.1,0.0,1
2050-01-07 01:00:00,0.004052654530494112,4.4,170,0,1.0,0.0,1
2050-01-07 02:00:00,0.0038923803711046322,2.8,140,0,2.6,0.0,1
2050-01-07 03:00:00,0.0037296886305234283,2.2,150,0,2.6,0.0,1
2050-01-07 04:00:00,0.0035563356707451633,1.7,130,0,3.6,0.0,1
2050-01-07 05:00:00,0.0034463254746356555,1.1,140,0,3.1,0.0,1
2050-01-07 06:00:00,0.0034473442360361236,1.1,160,0,2.1,0.0,1
2050-01-07 07:00:00,0.0034453493376707723,0.0,130,0,2.6,0.0,1
2050-01-07 08:00:00,0.003287000960897998,0.6,140,25,2.1,0.0,1
2050-01-07 09:00:00,0.0031849288237991665,0.0,100,81,3.1,0.0,1
2050-01-07 10:00:00,0.0032983133672533776,0.0,130,134,3.1,0.0,1
2050-01-07 11:00:00,0.0031877566235130952,0.0,100,150,3.6,0.0,1
2050-01-07 12:00:00,0.0032922738339375983,0.6,70,130,2.6,0.0,1
2050-01-07 13:00:00,0.003054968795944331,-0.6,120,86,2.6,0.0,1
2050-01-07 14:00:00,0.0030570067017154172,-0.6,100,73,2.6,0.0,1
2050-01-07 15:00:00,0.0029491182457459216,-1.1,140,44,3.1,0.0,1
2050-01-07 16:00:00,0.0029493369832626687,-1.1,120,6,3.1,0.0,1
2050-01-07 17:00:00,0.0030464601997299825,0.0,130,0,3.1,0.0,1
2050-01-07 18:00:00,0.003178478638654112,1.1,160,0,0.0,0.0,1
2050-01-07 19:00:00,0.0035739825664344495,2.2,190,0,3.6,0.0,1
2050-01-07 20:00:00,0.003444257636664469,2.2,200,0,2.1,0.0,1
2050-01-07 21:00:00,0.003756337451863876,2.2,190,0,3.6,0.0,1
2050-01-07 22:00:00,0.003581256745483903,2.2,230,0,2.6,0.0,1
2050-01-07 23:00:00,0.00358250163880818,2.2,160,0,2.6,0.0,1
